TIRF Data File: Project 1464; Run 32
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg C	none	SAE
45.080	39.99	514.59	0.037	0.021	21.721	20.618	82.67	1680.84	44.51	-912.87	22.31	8.39	-1.84	-0.05	31.79	73.57	83.17	83.40	27.57	0.053	0.073
45.100	40.01	513.74	0.029	0.021	21.725	20.662	82.62	1609.85	41.29	-891.44	21.03	16.14	-1.81	-0.05	31.81	73.50	83.04	83.23	27.56	0.051	0.070
45.120	40.04	512.76	0.034	0.021	21.735	20.718	82.67	1579.15	43.06	-877.16	15.41	22.45	-1.80	-0.05	31.81	73.38	82.87	83.04	27.58	0.049	0.067
45.140	40.05	512.29	0.034	0.025	21.733	20.744	82.57	1597.71	46.38	-882.30	8.03	21.62	-1.81	-0.05	31.80	73.30	82.73	82.93	27.60	0.048	0.066
45.160	40.06	511.78	0.035	0.022	21.732	20.770	82.57	1639.91	51.46	-910.84	6.98	14.12	-1.80	-0.06	31.79	73.17	82.62	82.84	27.58	0.046	0.065
45.180	40.10	511.08	0.031	0.022	21.734	20.817	82.62	1623.85	48.78	-925.62	15.27	5.22	-1.75	-0.05	31.78	73.07	82.59	82.78	27.60	0.044	0.062
45.200	40.14	510.14	0.037	0.025	21.733	20.875	82.62	1548.81	42.23	-912.33	22.92	7.84	-1.70	-0.05	31.79	72.96	82.44	82.69	27.59	0.041	0.059
45.220	40.16	509.05	0.038	0.025	21.733	20.930	82.52	1477.93	41.08	-887.65	20.58	15.88	-1.66	-0.05	31.79	72.85	82.23	82.56	27.60	0.038	0.057
45.240	40.16	508.07	0.029	0.024	21.735	20.972	82.52	1447.97	47.05	-872.31	14.67	21.48	-1.66	-0.05	31.77	72.71	82.02	82.44	27.60	0.036	0.054
45.260	40.18	507.41	0.035	0.024	21.735	21.009	82.47	1469.60	52.56	-880.90	8.59	21.03	-1.67	-0.06	31.76	72.55	81.86	82.33	27.59	0.035	0.053
45.280	40.17	506.90	0.038	0.024	21.735	21.026	82.47	1506.62	49.94	-911.75	8.05	11.99	-1.65	-0.05	31.76	72.42	81.77	82.28	27.61	0.034	0.052
45.300	40.17	506.12	0.032	0.024	21.739	21.058	82.52	1486.36	43.76	-925.18	16.52	4.53	-1.61	-0.05	31.77	72.28	81.71	82.19	27.59	0.032	0.050
45.320	40.16	505.07	0.034	0.025	21.735	21.097	82.42	1404.93	46.24	-907.56	24.32	6.96	-1.55	-0.05	31.74	72.17	81.61	82.11	27.61	0.030	0.048
45.340	40.14	503.90	0.037	0.021	21.738	21.136	82.52	1336.64	41.69	-879.64	20.24	16.20	-1.52	-0.05	31.74	72.05	81.41	81.97	27.59	0.028	0.046
45.360	40.13	502.96	0.034	0.021	21.738	21.171	82.37	1307.16	44.84	-864.13	13.16	20.96	-1.51	-0.05	31.75	71.96	81.20	81.83	27.90	0.027	0.044
45.380	40.11	502.34	0.038	0.024	21.735	21.185	82.47	1327.60	48.89	-876.70	7.24	19.62	-1.51	-0.06	31.74	71.83	81.02	81.70	27.58	0.026	0.044
45.400	40.09	501.75	0.035	0.021	21.735	21.197	82.42	1360.08	50.47	-908.73	7.89	10.73	-1.50	-0.06	31.77	71.74	80.90	81.68	27.59	0.025	0.043
45.420	40.07	501.05	0.035	0.024	21.737	21.220	82.42	1334.67	44.22	-917.97	15.18	2.43	-1.45	-0.05	31.75	71.65	80.84	81.59	27.58	0.024	0.042
45.440	40.05	500.03	0.038	0.022	21.736	21.250	82.37	1259.40	35.65	-900.24	21.76	6.04	-1.40	-0.04	31.74	71.58	80.70	81.42	27.59	0.023	0.041
45.460	40.03	498.98	0.034	0.021	21.736	21.285	82.32	1189.11	38.05	-874.67	21.00	13.96	-1.36	-0.04	31.77	71.52	80.56	81.28	27.60	0.021	0.039
45.480	39.99	498.16	0.035	0.024	21.735	21.300	82.27	1161.78	42.53	-854.93	12.90	19.91	-1.36	-0.05	31.77	71.46	80.40	81.11	27.58	0.020	0.038
45.500	39.98	497.73	0.037	0.021	21.735	21.311	82.32	1178.71	50.85	-864.50	7.04	18.18	-1.36	-0.06	31.79	71.38	80.23	80.95	27.54	0.020	0.038
45.520	39.98	497.38	0.037	0.025	21.733	21.326	82.32	1207.51	50.15	-896.23	5.58	9.03	-1.35	-0.06	31.77	71.33	80.12	80.86	27.58	0.019	0.037
